,name,rating,reviews,salary,interviews,jobs
0,TCS,3.3,1.1L,10.1L,11.8k,4.3k
1,Accenture,3.7,73.1k,6.9L,9.3k,36.3k
2,Wipro,3.6,64.8k,4.9L,6.8k,374
3,Cognizant,3.7,61.2k,6L,6.4k,461
4,Capgemini,3.6,53k,4.9L,5.5k,2.1k
5,HDFC Bank,3.8,52k,1.5L,3k,292
6,Infosys,3.5,48.5k,5.3L,8.4k,2.1k
7,HCLTech,3.4,45.8k,3.9L,4.5k,228
8,ICICI Bank,4.0,45.7k,1.5L,3k,14
9,Tech Mahindra,3.4,43.1k,2.9L,4.5k,598
10,Genpact,3.6,42k,2.4L,3.9k,766
11,TP,3.8,38.2k,98.2k,2.2k,1.6k
12,Jio,4.4,33.5k,62k,4.4k,--
13,Axis Bank,3.6,33k,1L,1.9k,215
14,Concentrix Corporation,3.6,32.1k,1.3L,2k,9
15,Amazon,3.9,31.3k,1.5L,5.9k,2.5k
16,Reliance Retail,3.9,27.2k,75.8k,2k,120
17,iEnergizer,4.6,26.9k,24.7k,1.5k,89
18,LTIMindtree,3.6,26.4k,2L,3.5k,550
19,IBM,3.9,25.7k,2.2L,2.6k,2.3k
20,HDB Financial Services,3.9,25.5k,49.7k,1.1k,2.1k
21,Larsen & Toubro Limited,3.9,23.8k,75.5k,1.9k,253
22,Deloitte,3.7,23k,2.6L,3.3k,2k
23,Kotak Mahindra Bank,3.6,22.3k,86.9k,1.4k,155
24,Reliance Industries,4.0,20.1k,73.6k,1.6k,66
25,Vodafone Idea,3.9,17.5k,49.3k,693,78
26,Bharti Airtel,3.8,17k,50.1k,1.1k,184
27,BYJU'S,3.2,16.3k,50.7k,2.1k,1
28,WNS,3.3,15.2k,70.5k,1.3k,104
29,IDFC FIRST Bank,3.9,14.5k,50k,967,33
30,Ernst & Young,3.4,14.5k,1.5L,1.3k,5.2k
31,IndusInd Bank,3.4,14.2k,52.2k,772,142
32,AU Small Finance Bank,3.8,14.2k,29.8k,704,226
33,Tata Motors,4.1,14.1k,43k,1.3k,181
34,Muthoot FinCorp,4.6,13.1k,9.2k,2.4k,65
35,Bajaj Finserv,4.0,13k,31.2k,756,2
36,Flipkart,3.9,12.9k,55.8k,1.7k,102
37,PwC,3.3,12.5k,1.2L,1.6k,1.2k
38,Mahindra & Mahindra,4.0,12k,40.9k,876,2
39,Infosys BPM,3.5,12k,76k,1.1k,64
40,HDFC Life,3.9,12k,33.3k,806,110
41,DXC Technology,3.6,11.9k,74.8k,901,194
42,Bandhan Bank,3.7,11k,25.2k,758,19
43,Digitide Solutions,3.5,10.3k,26.8k,574,328
44,Mphasis,3.3,10.2k,74.7k,936,46
45,Yes Bank,3.7,10.1k,42.6k,559,184
46,Tata Steel,4.0,9.8k,34.7k,1.1k,--
47,Quess,3.8,9.7k,31.3k,547,34
48,Asian Paints,3.9,9.5k,26.2k,866,94
49,Maruti Suzuki,4.1,9.5k,28.3k,790,726
50,Startek,3.1,9.4k,25k,642,241
51,UltraTech Cement,4.2,9.4k,25.2k,803,42
52,Paytm,3.2,9.3k,34.5k,901,870
53,Bajaj Finance,3.9,9.1k,23.1k,440,6.5k
54,Shriram Finance,3.9,9.1k,15.4k,454,10
55,Sutherland Global Services,3.4,9k,35.5k,804,282
56,Equitas Small Finance Bank,4.4,8.8k,13.9k,1k,25
57,Wells Fargo,3.6,8.6k,61.9k,695,266
58,EXL Service,3.6,8.6k,44.9k,919,1.6k
59,Cipla,4.1,8.6k,26.4k,602,34
60,Ericsson,3.9,8.4k,42.8k,475,35
61,Samsung,3.9,8.3k,26.5k,630,29
62,Dr. Reddy's,4.0,8.2k,26k,516,14
63,Optum Global Solutions,4.0,7.9k,50.7k,775,323
64,JSW Steel,3.9,7.8k,31.6k,836,116
65,JPMorgan Chase & Co.,3.8,7.8k,90.4k,881,750
66,Delhivery,3.8,7.8k,22.3k,616,194
67,ICICI Prudential Life Insurance,3.9,7.7k,22.9k,488,171
68,Hexaware Technologies,3.4,7.7k,54.9k,831,371
69,Ujjivan Small Finance Bank,4.0,7.6k,13.3k,329,86
70,Jana Small Finance Bank,3.7,7.6k,14.6k,307,47
71,Sun Pharmaceutical Industries,4.1,7.6k,23.7k,679,424
72,HGS,3.7,7.5k,20.5k,277,12
73,Amazon Development Centre India,3.8,7.5k,39.1k,893,3
74,Zydus Lifesciences,4.0,7.4k,20.1k,474,41
75,Ekart Logistics,3.9,7.4k,16.7k,411,3
76,Lupin,4.1,7.3k,22.5k,447,27
77,KPMG India,3.4,7.3k,67.7k,939,102
78,L&T Construction,4.0,7.3k,19.3k,951,--
79,Hindustan Unilever,4.2,7.2k,20.2k,473,10
80,Axis Max Life Insurance,4.0,7.1k,20.2k,413,153
81,ITC,3.9,7.1k,24.9k,701,79
82,Megha Engineering & Infrastructures,3.9,6.9k,18.6k,579,26
83,Coforge,3.3,6.8k,50.8k,739,156
84,Tata Projects,4.2,6.8k,22.7k,618,42
85,Bajaj Life Insurance,3.8,6.6k,17.8k,450,75
86,Cholamandalam Investment & Finance,3.8,6.6k,12.8k,292,34
87,L&T Technology Services,3.1,6.6k,44.3k,634,--
88,FIS,3.8,6.6k,39.1k,541,154
89,Oracle,3.4,6.5k,64k,953,50
90,Omega Healthcare,3.8,6.4k,27.5k,557,204
91,JLL,4.1,6.4k,24.9k,494,363
92,Muthoot Finance,3.7,6.3k,13.1k,359,156
93,IIFL Finance,4.0,6.3k,14.1k,332,41
94,eClerx,3.1,6.3k,32.9k,644,464
95,Indian Army,4.7,6.2k,9.4k,210,--
96,Virtusa Consulting Services,3.7,6.1k,57.3k,681,672
97,DMart,3.9,6.1k,18.9k,557,240
98,HCL Group,3.5,6.1k,39.2k,521,--
99,PolicyBazaar,3.8,6k,17.9k,640,1.2k
100,HSBC Group,3.8,6k,44.5k,554,140
101,Piramal Finance,4.2,6k,12.3k,298,6
102,Indiamart Intermesh,3.5,5.9k,21.8k,760,146
103,SMFG India Credit,3.9,5.9k,11k,215,108
104,Access Healthcare,3.7,5.9k,29.4k,406,1.8k
105,BigBasket,3.9,5.8k,19.5k,495,68
106,Siemens,3.9,5.8k,34.6k,512,1.5k
107,Aurobindo Pharma,4.0,5.8k,20.6k,294,23
108,ICICI Lombard General Insurance Company,3.5,5.8k,20.1k,366,226
109,GlobalLogic,3.5,5.7k,41.4k,688,48
110,Firstsource Solutions,3.5,5.7k,24.7k,367,139
111,Manappuram Finance,3.9,5.7k,9.1k,227,30
112,Tata Capital,4.0,5.7k,16.1k,283,3.2k
113,Udaan,3.9,5.7k,15.5k,373,11
114,Shapoorji Pallonji Group,4.1,5.7k,15.6k,433,68
115,Standard Chartered,3.6,5.7k,42.4k,327,--
116,UST,3.7,5.7k,40.1k,594,53
117,Apollo Hospitals,4.0,5.6k,16.8k,493,243
118,Bosch Global Software Technologies,3.7,5.6k,41.1k,395,11
119,Mahindra Finance,3.9,5.6k,12.3k,223,98
120,Swiggy,3.7,5.6k,23.7k,588,209
121,Ashok Leyland,4.0,5.5k,18.9k,328,4
122,Citicorp,3.6,5.5k,54.2k,638,--
123,Hero MotoCorp,4.1,5.4k,16.2k,419,2
124,CGI Group,4.0,5.4k,46.8k,566,440
125,Cyient,3.6,5.3k,27.8k,337,90
126,SBI Cards & Payment Services,3.6,5.3k,16.2k,311,115
127,BNY,3.6,5.3k,31.9k,405,103
128,NTT DATA,3.8,5.2k,37.5k,758,16
129,Kalpataru Projects International,4.2,5.2k,13.7k,340,2
130,IQVIA,3.7,5.2k,31.7k,565,31
131,Nagarjuna Construction Company,4.0,5.2k,12.5k,452,16
132,JustDial,3.5,5.1k,15.4k,395,47
133,Schneider Electric,4.1,5.1k,25.4k,463,531
134,CBRE,4.1,5.1k,19.1k,356,163
135,SBI Life Insurance Company,3.7,5.1k,12.1k,316,12
136,TVS Motor,3.9,5.1k,16.3k,414,99
137,Persistent Systems,3.6,5k,46.3k,716,289
138,State Bank of India,3.8,4.9k,11.8k,318,2
139,Atos,3.8,4.9k,33.5k,412,86
140,KEC International,4.0,4.9k,13.7k,426,21
141,vivo,4.1,4.9k,12.8k,245,16
142,Amdocs,3.6,4.9k,37.7k,563,13
143,ITC Infotech,3.8,4.8k,30k,423,65
144,Ecom Express,4.1,4.8k,9.4k,266,--
145,JBM Group,3.9,4.8k,14k,356,161
146,Varun Beverages,4.0,4.8k,12.4k,355,49
147,Eviden,3.6,4.8k,27k,316,--
148,Nagarro,3.9,4.7k,33.1k,837,313
149,Utkarsh Small Finance Bank,3.6,4.7k,11.1k,313,24
150,Randstad,3.7,4.7k,16.9k,335,13
151,Bosch,4.1,4.7k,21.2k,385,--
152,EY Global Delivery Services ( EY GDS),3.5,4.6k,52k,895,8
153,Hewlett Packard Enterprise,4.0,4.6k,27.6k,270,255
154,L&T Finance,3.9,4.6k,11.7k,223,--
155,Aditya Birla Fashion and Retail,4.0,4.6k,13.2k,269,59
156,Havells,3.9,4.6k,15.3k,298,30
157,Cars24,3.4,4.6k,15.6k,411,66
158,Mahindra Logistics,3.7,4.6k,12.9k,254,130
159,Intas Pharmaceuticals,4.1,4.6k,17.4k,264,46
160,R1 RCM,3.8,4.6k,22.3k,364,189
161,Home Credit Finance,4.0,4.5k,9.3k,152,100
162,Dell,3.8,4.5k,29.1k,429,41
163,Tata AIA Life Insurance,3.9,4.5k,14.3k,258,875
164,Hetero,3.9,4.5k,15.2k,345,70
165,Deutsche Bank,3.9,4.5k,37.6k,427,562
166,OPPO,3.9,4.4k,11.7k,256,9
167,Berger Paints,3.7,4.4k,10.7k,437,104
168,Hyundai Motor India Limited,4.1,4.4k,14.3k,327,1
169,Lenskart,3.3,4.4k,13.2k,464,171
170,Motilal Oswal Financial Services,3.7,4.4k,13.1k,553,44
171,TeamLease Services,3.9,4.4k,16.4k,254,--
172,VE Commercial Vehicles,3.9,4.3k,14.3k,292,27
173,Thermax Limited,4.2,4.3k,13.3k,347,50
174,Macleods Pharmaceuticals,3.7,4.2k,15.8k,270,36
175,Jubilant Foods Works,3.7,4.2k,9.6k,257,320
176,Carelon Global Solutions,3.9,4.2k,28.9k,425,86
177,Aakash Educational Services,3.2,4.2k,14.1k,380,82
178,Bajaj Auto,3.8,4.2k,14.6k,329,40
179,LG Electronics,3.8,4.1k,11.3k,262,12
180,Jindal Steel Limited,3.9,4.1k,16k,430,65
181,Kogta Financial India Limited,4.7,4.1k,1.9k,252,140
182,State Street Corporation,3.5,4.1k,33.4k,296,12
183,Hindalco Industries,4.2,4.1k,12.9k,314,27
184,Cloudnine Hospital,4.5,4.1k,3k,1.4k,14
185,Royal Enfield,4.2,4.1k,14.9k,205,4
186,HDFC ERGO General Insurance,4.0,4k,12k,203,72
187,John Deere,4.0,4k,15.6k,268,5
188,DCB Bank,3.8,4k,9.7k,234,15
189,Tata Communications,3.9,4k,23.6k,304,202
190,RBL Bank,3.5,4k,18.6k,246,30
191,Cummins,4.3,4k,15.6k,292,106
192,Publicis Sapient,3.2,4k,32.6k,703,214
193,Bank of America,4.1,3.9k,29.7k,294,--
194,Alembic Pharmaceuticals,3.9,3.9k,15.4k,259,67
195,Pidilite Industries,4.2,3.9k,11.8k,267,28
196,Oyo Rooms,3.0,3.9k,14k,259,147
197,Grasim Industries,4.0,3.9k,13.1k,289,4
198,Aditya Birla Sun Life Insurance,4.0,3.9k,10.4k,184,1
199,American Express,4.1,3.9k,25.5k,431,44
200,Kyndryl,4.0,3.8k,27.4k,234,2
201,Subros,3.8,3.8k,12.7k,220,2
202,PNB MetLife,3.3,3.8k,8.3k,196,20
203,ADP Private Limited,3.9,3.8k,22.3k,294,60
204,Altruist Technologies,4.4,3.8k,8.4k,724,6
205,Aditya Birla Capital,3.8,3.8k,14.3k,261,1
206,XpressBees,4.2,3.8k,8.2k,446,10
207,Viatris,4.1,3.8k,14.2k,170,3
208,Escorts Kubota Limited,4.1,3.8k,13.8k,305,1
209,PVR INOX,3.9,3.8k,9.5k,219,25
210,Reliance Communications,4.0,3.8k,9.4k,107,--
211,Maersk,4.0,3.8k,19.3k,253,52
212,KPIT Technologies,2.9,3.8k,23.8k,349,26
213,Birlasoft,3.4,3.7k,29.9k,317,657
214,Synechron,3.4,3.7k,28.6k,408,94
215,JK Cement,4.0,3.7k,10.2k,345,1
216,Glenmark Pharmaceuticals,3.8,3.7k,12.4k,183,109
217,Kotak Mahindra Life Insurance Company,3.5,3.7k,12.5k,264,169
218,Bharat Electronics,4.2,3.7k,12.8k,249,1
219,Sodexo,4.0,3.7k,9.9k,209,961
220,Dabur,3.8,3.7k,9k,336,37
221,Cogent E Services,3.1,3.6k,10.4k,297,2
222,Godrej & Boyce Manufacturing,3.9,3.6k,15.1k,234,53
223,Abbott,4.1,3.6k,12.1k,184,240
224,PhonePe,4.0,3.6k,13.5k,432,125
225,Samvardhana Motherson Group,3.7,3.6k,11.9k,260,28
226,Ipca Laboratories,3.8,3.6k,11.5k,214,47
227,Aarti Industries,4.1,3.6k,14.5k,334,68
228,Reliance Projects & Property Management Services,4.0,3.6k,7.3k,215,--
229,Blinkit,3.8,3.6k,13.6k,368,1
230,UNO Minda,4.0,3.6k,11.5k,266,62
231,Reliance Digital,4.1,3.6k,8.3k,172,--
232,IGT Solutions,3.2,3.5k,13.9k,257,86
233,MRF Tyres,3.6,3.5k,13.1k,382,19
234,Indian Oil Corporation,4.3,3.5k,7.9k,242,--
235,Johnson Controls,3.5,3.5k,17.8k,307,5
236,ArcelorMittal Nippon Steel India,4.1,3.5k,12.4k,280,8
237,Alkem Laboratories,3.9,3.5k,9.9k,202,23
238,"NTT DATA, Inc.",3.9,3.5k,20.8k,156,87
239,Honda Motorcycle & Scooter,4.1,3.5k,11.2k,207,--
240,[24]7.ai,3.4,3.5k,11.7k,191,64
241,Vishal Mega Mart,3.7,3.4k,6.2k,216,5
242,UBS,3.8,3.4k,32.2k,377,2
243,Hindustan Coca Cola Beverages,4.0,3.4k,7.9k,184,58
244,Barclays,3.7,3.4k,33.5k,323,--
245,IndusInd Nippon Life Insurance,3.4,3.4k,8.1k,172,1
246,Bajaj General Insurance Limited,3.7,3.4k,11k,141,411
247,ABB,4.0,3.4k,18.5k,297,413
248,DTDC Express,3.7,3.4k,8.9k,198,38
249,Ceat Tyres,3.9,3.4k,13.1k,213,49
250,Ford Motor,4.2,3.4k,15.5k,176,1
251,TVS Credit Services Ltd,4.2,3.4k,7.4k,164,30
252,NatWest Group,3.9,3.3k,21.4k,237,58
253,RSPL Group,4.1,3.3k,9.9k,260,82
254,AGS Health,4.0,3.3k,14.7k,217,52
255,HARMAN,3.8,3.3k,24.2k,295,120
256,Croma,3.8,3.3k,9.3k,188,40
257,Conduent,3.4,3.3k,17.2k,239,316
258,Niva Bupa Health Insurance Company,4.0,3.3k,8.5k,379,132
259,Alstom Transportation,3.7,3.3k,15.5k,283,244
260,InterGlobe Aviation,3.5,3.3k,13.5k,377,37
261,Indian Air Force,4.6,3.3k,5.2k,86,2
262,Tata Technologies,3.4,3.2k,23.2k,313,132
263,Tata AIG,4.0,3.2k,11.7k,195,98
264,GeBBS Healthcare Solutions,3.8,3.2k,11.3k,186,88
265,UPL,4.1,3.2k,11.1k,223,31
266,Allcargo Logistics,3.8,3.2k,7k,139,31
267,PepsiCo,4.0,3.2k,13.9k,247,208
268,Max Healthcare,4.0,3.1k,10.5k,190,140
269,Sagility,3.9,3.1k,12.5k,250,103
270,Dilip Buildcon,3.9,3.1k,7.9k,189,12
271,Mankind Pharma,3.8,3.1k,9.6k,258,7
272,Marpu Foundation,4.9,3.1k,61,266,--
273,Amazon Transportation Services,4.2,3.1k,8.5k,259,--
274,Titan Company,4.2,3.1k,9.7k,208,115
275,Jindal Stainless,4.2,3.1k,11.6k,325,107
276,Walmart,3.5,3.1k,23.7k,445,283
277,Societe Generale Global Solution Centre,3.6,3.1k,23.4k,302,90
278,Varroc Group,3.6,3.1k,9.6k,224,24
279,S&P Global,4.0,3.1k,20.8k,334,305
280,MSN Laboratories,3.6,3.1k,9.6k,179,33
281,Quest Global,3.5,3.1k,21.6k,365,219
282,Afcons Infrastructure,4.2,3.1k,8.7k,269,38
283,Torrent Pharmaceuticals,4.0,3.1k,10.5k,173,31
284,Ola Electric Mobility,3.3,3k,9.6k,311,--
285,ESAF Small Finance Bank,3.6,3k,7.5k,171,60
286,IDFC FIRST Bharat,4.2,3k,5.2k,154,9
287,Future Group,4.3,3k,6.4k,84,--
288,Canara HSBC Life Insurance,4.1,3.1k,6.2k,485,--
289,Square Yards,3.6,3k,9.4k,231,87
290,HDFC Sales,3.9,3k,8.4k,196,48
291,CMS IT Services,3.1,3k,9.4k,160,41
292,Zensar Technologies,3.7,3k,25.8k,282,389
293,DS Group,4.1,3k,7.4k,226,56
294,Tata Elxsi,3.4,3k,23.6k,343,51
295,Bharat Financial Inclusion,3.7,3k,5.2k,126,6
296,I Process Services,3.8,3k,5.5k,138,--
297,Suzlon Group,4.0,3k,7.8k,182,14
298,ACC,3.9,2.9k,9.1k,237,13
299,Fujitsu,3.8,2.9k,17.7k,214,109
300,Indus Towers,3.6,2.9k,9.3k,228,33
301,Eternal Limited,3.6,2.9k,14.7k,362,8
302,VVDN Technologies,3.6,2.9k,13.9k,262,7
303,Shoppers Stop,4.0,2.9k,6.9k,146,33
304,Nokia,4.0,2.9k,17k,327,174
305,IKS Health,3.6,2.9k,11.5k,269,27
306,Tata Electronics,3.9,2.9k,12.1k,280,143
